epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,43.2746,2.27367,2.09593,2.22322,0,0,0,0,3.00108,4.01212,2.80618,0.000874496,0.000874496,0.000874496
66,43.7799,2.20817,1.86829,2.10143,0,0,0,0,2.86127,3.84823,2.76204,0.000881725,0.000881725,0.000881725
67,44.3013,2.12785,1.91875,2.05434,0,0,0,0,2.86127,3.84823,2.76204,0.000888756,0.000888756,0.000888756
68,44.8809,2.19516,2.05153,1.92501,0,0,0,0,2.80086,3.77725,2.67905,0.000895589,0.000895589,0.000895589
69,45.3768,2.13433,1.99541,2.02184,0,0,0,0,2.80086,3.77725,2.67905,0.000902224,0.000902224,0.000902224
70,45.9435,2.30192,2.008,2.11581,0,0,0,0,2.73722,3.72972,2.64467,0.000908661,0.000908661,0.000908661
71,51.4243,2.10823,2.02739,2.00327,0,0,0,0,2.73722,3.72972,2.64467,0.0009149,0.0009149,0.0009149
72,51.968,1.92793,1.80267,1.79415,0,0,0,0,2.84941,3.6488,2.65297,0.000920941,0.000920941,0.000920941
73,52.4408,2.05684,1.77022,1.89687,0,0,0,0,2.84941,3.6488,2.65297,0.000926784,0.000926784,0.000926784
74,53.0087,1.98212,1.93893,1.87813,0.04167,0.25,0.01531,0.00153,2.59586,3.86657,2.40548,0.000932429,0.000932429,0.000932429
75,53.5656,2.19679,1.79589,2.02139,0.04167,0.25,0.01531,0.00153,2.59586,3.86657,2.40548,0.000937876,0.000937876,0.000937876
76,54.1187,2.03424,1.94713,1.97051,0.01852,0.25,0.01633,0.00352,2.54322,3.87742,2.25554,0.000943125,0.000943125,0.000943125
77,54.6484,2.06748,1.87239,1.95352,0.01852,0.25,0.01633,0.00352,2.54322,3.87742,2.25554,0.000948176,0.000948176,0.000948176
78,55.3022,1.96739,1.85673,1.80851,0.06383,0.75,0.04859,0.0207,2.50551,3.59787,2.13542,0.000953029,0.000953029,0.000953029
79,55.8364,1.92926,1.87721,1.90843,0.06383,0.75,0.04859,0.0207,2.50551,3.59787,2.13542,0.000957684,0.000957684,0.000957684
80,56.4445,2.19797,1.98455,2.11756,0.14286,1,0.16583,0.06764,2.42366,3.34308,2.16224,0.000962141,0.000962141,0.000962141
81,56.9058,1.90245,1.95256,1.81836,0.14286,1,0.16583,0.06764,2.42366,3.34308,2.16224,0.0009664,0.0009664,0.0009664
82,57.5626,1.73301,1.79251,1.72279,0.13333,1,0.26536,0.08703,2.50081,3.19695,2.2448,0.000970461,0.000970461,0.000970461
83,61.7525,2.01632,1.71935,1.99108,0.13333,1,0.26536,0.08703,2.50081,3.19695,2.2448,0.000974324,0.000974324,0.000974324
84,62.6349,1.93827,1.77109,1.86356,0.50316,0.25,0.38639,0.11378,2.4031,2.69329,2.2393,0.000977989,0.000977989,0.000977989
85,63.4778,1.62526,1.53141,1.66468,0.50316,0.25,0.38639,0.11378,2.4031,2.69329,2.2393,0.000981456,0.000981456,0.000981456
86,64.1967,1.74794,1.82303,1.92945,0.74133,0.25,0.45929,0.14559,2.47937,2.25081,2.23657,0.000984725,0.000984725,0.000984725
87,64.7313,1.61893,1.47515,1.75158,0.74133,0.25,0.45929,0.14559,2.47937,2.25081,2.23657,0.000987796,0.000987796,0.000987796
88,65.3228,1.93872,1.91873,1.98087,0.58881,0.25,0.51018,0.14458,2.6505,2.19645,2.20768,0.000990669,0.000990669,0.000990669
89,65.8002,1.94144,1.74935,1.91609,0.58881,0.25,0.51018,0.14458,2.6505,2.19645,2.20768,0.000993344,0.000993344,0.000993344
90,66.3361,1.78825,1.71589,1.83327,0.46627,0.5,0.65526,0.31143,2.26559,1.98749,1.96265,0.000995821,0.000995821,0.000995821
91,67.0767,1.83307,1.80662,1.8319,0.46627,0.5,0.65526,0.31143,2.26559,1.98749,1.96265,0.0009981,0.0009981,0.0009981
92,67.6277,1.91534,1.77461,1.87969,0.90788,0.5,0.645,0.2304,2.16185,1.72393,2.06665,0.00100018,0.00100018,0.00100018
93,68.1133,2.09898,1.86828,1.97358,0.90788,0.5,0.645,0.2304,2.16185,1.72393,2.06665,0.00100206,0.00100206,0.00100206
94,68.6572,1.88479,1.73344,1.89215,0.62333,0.5,0.46068,0.22103,2.17922,1.61788,2.08796,0.00100375,0.00100375,0.00100375
95,69.1267,1.71359,1.59897,1.71463,0.62333,0.5,0.46068,0.22103,2.17922,1.61788,2.08796,0.00100524,0.00100524,0.00100524
96,69.6483,1.83569,1.69307,2.04469,1,0.47745,0.64976,0.29852,2.4227,1.62519,2.14774,0.00100653,0.00100653,0.00100653
97,70.1517,1.86146,1.85857,1.80248,1,0.47745,0.64976,0.29852,2.4227,1.62519,2.14774,0.00100762,0.00100762,0.00100762
98,70.666,1.79737,1.59151,1.79963,0.9665,0.5,0.62985,0.2942,2.41353,1.55798,2.09869,0.00100851,0.00100851,0.00100851
99,71.167,1.58448,1.43577,1.6693,0.9665,0.5,0.62985,0.2942,2.41353,1.55798,2.09869,0.0010092,0.0010092,0.0010092
100,71.7279,1.8736,1.92635,1.8501,0.95403,0.5,0.62208,0.28392,2.15411,1.63297,1.99833,0.0010097,0.0010097,0.0010097
101,72.2706,1.70136,1.45513,1.64778,0.95403,0.5,0.62208,0.28392,2.15411,1.63297,1.99833,0.00101,0.00101,0.00101
102,72.8139,1.90305,1.84705,1.87807,0.99546,0.5,0.69262,0.32245,1.96126,1.61149,1.9038,0.0010001,0.0010001,0.0010001
103,73.3377,1.59977,1.6183,1.6961,0.99546,0.5,0.69262,0.32245,1.96126,1.61149,1.9038,0.0009902,0.0009902,0.0009902
104,73.9408,1.59851,1.51349,1.59227,1,0.67642,0.79763,0.32561,2.23497,1.54658,2.03267,0.0009803,0.0009803,0.0009803
105,74.721,1.63708,1.56891,1.7254,1,0.67642,0.79763,0.32561,2.23497,1.54658,2.03267,0.0009704,0.0009704,0.0009704
106,75.5715,1.66147,1.50753,1.70607,1,0.73513,0.81167,0.26592,2.42795,1.54353,2.04879,0.0009605,0.0009605,0.0009605
107,76.261,1.65442,1.33355,1.69548,1,0.73513,0.81167,0.26592,2.42795,1.54353,2.04879,0.0009506,0.0009506,0.0009506
108,77.0409,1.84476,1.55299,1.80699,0.70908,0.75,0.76583,0.3763,2.08133,1.46137,1.83514,0.0009407,0.0009407,0.0009407
109,77.6278,1.50537,1.54611,1.65462,0.70908,0.75,0.76583,0.3763,2.08133,1.46137,1.83514,0.0009308,0.0009308,0.0009308
110,78.1796,1.82074,1.4109,1.76091,0.73593,0.75,0.7825,0.3905,1.82745,1.65225,1.70123,0.0009209,0.0009209,0.0009209
111,78.6823,1.61258,1.38721,1.63653,0.73593,0.75,0.7825,0.3905,1.82745,1.65225,1.70123,0.000911,0.000911,0.000911
112,82.2886,1.49357,1.35206,1.52617,0.8415,0.5,0.67882,0.30835,1.7755,1.63858,1.61831,0.0009011,0.0009011,0.0009011
