epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1041.93,0.72378,0.42388,0.86067,0.99284,0.9575,0.97254,0.77827,0.66666,0.38922,0.83197,0.000847813,0.000847813,0.000847813
67,1057.15,0.729,0.42878,0.85914,0.98632,0.95938,0.98261,0.78464,0.60692,0.39019,0.82522,0.000841625,0.000841625,0.000841625
68,1072.46,0.73982,0.42852,0.85865,0.99363,0.95689,0.98165,0.78666,0.61541,0.38983,0.82397,0.000835438,0.000835438,0.000835438
69,1087.58,0.71393,0.41425,0.85827,0.99532,0.96247,0.98331,0.78716,0.59816,0.37563,0.81997,0.00082925,0.00082925,0.00082925
70,1102.83,0.71234,0.41346,0.85206,0.99361,0.9652,0.98353,0.80393,0.58999,0.37779,0.81858,0.000823063,0.000823063,0.000823063
71,1118.32,0.71192,0.41349,0.85568,0.99109,0.96649,0.98372,0.78659,0.69277,0.43834,0.83693,0.000816875,0.000816875,0.000816875
72,1133.62,0.71114,0.41624,0.84967,0.98019,0.98232,0.98432,0.79219,0.65553,0.37944,0.82909,0.000810688,0.000810688,0.000810688
73,1149.58,0.69861,0.41511,0.85647,0.98738,0.97422,0.98756,0.79439,0.59151,0.37108,0.82061,0.0008045,0.0008045,0.0008045
74,1164.95,0.72447,0.41339,0.85869,0.99156,0.96403,0.98392,0.78998,0.59003,0.37903,0.81931,0.000798313,0.000798313,0.000798313
75,1179.68,0.70483,0.41074,0.85561,0.98474,0.97015,0.98408,0.80133,0.61559,0.38524,0.82135,0.000792125,0.000792125,0.000792125
76,1196.01,0.69694,0.40907,0.85011,0.99609,0.96917,0.9844,0.7855,0.67589,0.40912,0.83135,0.000785938,0.000785938,0.000785938
77,1211.2,0.70062,0.41526,0.85399,0.99428,0.96754,0.9834,0.80256,0.56553,0.37037,0.81259,0.00077975,0.00077975,0.00077975
78,1225.46,0.68969,0.40366,0.84572,0.98486,0.97727,0.98428,0.81049,0.57925,0.36884,0.81392,0.000773563,0.000773563,0.000773563
79,1241.92,0.69019,0.4021,0.8551,0.98564,0.97587,0.9845,0.79898,0.61295,0.38291,0.81861,0.000767375,0.000767375,0.000767375
80,1257.94,0.67284,0.39889,0.84513,0.98683,0.97359,0.97955,0.79275,0.63841,0.37737,0.826,0.000761188,0.000761188,0.000761188
81,1274,0.68803,0.40372,0.84946,0.99186,0.97587,0.98443,0.80272,0.56615,0.37186,0.81442,0.000755,0.000755,0.000755
82,1288.9,0.6866,0.40526,0.84919,0.99205,0.96637,0.98341,0.80566,0.62085,0.36982,0.82206,0.000748813,0.000748813,0.000748813
83,1304.25,0.69323,0.40227,0.84427,0.99231,0.96605,0.98392,0.80978,0.56002,0.35849,0.8138,0.000742625,0.000742625,0.000742625
84,1319.74,0.69111,0.40328,0.85064,0.98925,0.97319,0.98444,0.80276,0.60222,0.3606,0.81544,0.000736438,0.000736438,0.000736438
85,1335.07,0.68555,0.39997,0.85132,0.99487,0.97453,0.98458,0.78902,0.59677,0.36365,0.81315,0.00073025,0.00073025,0.00073025
86,1351.29,0.67937,0.39558,0.84818,0.98853,0.96947,0.98493,0.80593,0.54714,0.35405,0.80818,0.000724062,0.000724062,0.000724062
87,1366.91,0.66086,0.38667,0.84841,0.99084,0.96917,0.98845,0.80489,0.56292,0.35524,0.8136,0.000717875,0.000717875,0.000717875
88,1382.18,0.66725,0.39126,0.84655,0.98532,0.98136,0.98899,0.81392,0.53411,0.35967,0.80772,0.000711687,0.000711687,0.000711687
89,1396.73,0.65374,0.38713,0.84284,0.98932,0.96651,0.98294,0.80417,0.54117,0.34526,0.80877,0.0007055,0.0007055,0.0007055
90,1411.86,0.65479,0.39009,0.84371,0.98902,0.96917,0.98389,0.80962,0.54302,0.34736,0.81142,0.000699312,0.000699312,0.000699312
91,1426.57,0.65693,0.38721,0.83898,0.99374,0.97051,0.98436,0.8165,0.53084,0.33417,0.8065,0.000693125,0.000693125,0.000693125
92,1441.85,0.65692,0.38199,0.84514,0.99437,0.97067,0.97964,0.81182,0.55856,0.34,0.8101,0.000686937,0.000686937,0.000686937
93,1457.71,0.67104,0.38921,0.84749,0.99484,0.97315,0.9845,0.79596,0.57853,0.35425,0.81494,0.00068075,0.00068075,0.00068075
94,1473.48,0.65362,0.38489,0.84616,0.97679,0.98525,0.9846,0.82244,0.51679,0.34077,0.80776,0.000674562,0.000674562,0.000674562
95,1489.08,0.64588,0.38338,0.84065,0.99115,0.97185,0.98448,0.8105,0.5577,0.34623,0.80927,0.000668375,0.000668375,0.000668375
96,1504.94,0.64777,0.38389,0.84521,0.99775,0.96371,0.98395,0.79947,0.60575,0.35783,0.81822,0.000662188,0.000662188,0.000662188
97,1520.19,0.64211,0.37703,0.8367,0.98592,0.97721,0.97951,0.81544,0.55058,0.34911,0.8084,0.000656,0.000656,0.000656
98,1535.67,0.65153,0.38701,0.84588,0.98657,0.96641,0.97444,0.81603,0.52801,0.33589,0.80566,0.000649813,0.000649813,0.000649813
99,1551.89,0.63358,0.37545,0.8383,0.98316,0.97799,0.98425,0.81528,0.56855,0.34569,0.81004,0.000643625,0.000643625,0.000643625
100,1567.19,0.63431,0.36959,0.83518,0.98237,0.97902,0.98439,0.82194,0.55892,0.33094,0.81003,0.000637437,0.000637437,0.000637437
101,1581.94,0.64663,0.37624,0.8458,0.99298,0.96105,0.98321,0.81681,0.56586,0.34984,0.80789,0.00063125,0.00063125,0.00063125
102,1597.84,0.63741,0.37188,0.83744,0.99388,0.97051,0.98434,0.80777,0.55087,0.33441,0.81072,0.000625062,0.000625062,0.000625062
