epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,43.4834,0.72381,1.1447,0.93518,0.89285,0.5,0.53639,0.2809,1.47447,2.94215,1.40029,0.000902224,0.000902224,0.000902224
70,44.4469,0.86018,1.08931,0.96888,0.87412,0.5,0.55458,0.28453,1.4188,2.93995,1.35011,0.000908661,0.000908661,0.000908661
71,45.2772,0.67651,1.03671,0.9039,0.87412,0.5,0.55458,0.28453,1.4188,2.93995,1.35011,0.0009149,0.0009149,0.0009149
72,45.859,0.73057,1.01887,0.88958,0.99669,0.5,0.895,0.4168,1.28055,2.76154,1.40612,0.000920941,0.000920941,0.000920941
73,46.3782,0.6413,0.99903,0.86769,0.99669,0.5,0.895,0.4168,1.28055,2.76154,1.40612,0.000926784,0.000926784,0.000926784
74,46.9314,0.77481,1.05832,0.94866,1,0.46874,0.995,0.44738,1.3907,2.58671,1.46013,0.000932429,0.000932429,0.000932429
75,47.4811,0.6983,0.94145,0.94529,1,0.46874,0.995,0.44738,1.3907,2.58671,1.46013,0.000937876,0.000937876,0.000937876
76,48.1293,0.69345,0.96616,0.9583,1,0.6254,0.995,0.39757,1.54097,2.46065,1.55808,0.000943125,0.000943125,0.000943125
77,48.6037,0.65559,1.05746,0.93714,1,0.6254,0.995,0.39757,1.54097,2.46065,1.55808,0.000948176,0.000948176,0.000948176
78,49.2066,0.70597,0.97719,0.91847,0.6182,0.5,0.77,0.33064,1.71936,2.4349,1.69917,0.000953029,0.000953029,0.000953029
79,49.7233,0.70351,1.09908,0.95542,0.6182,0.5,0.77,0.33064,1.71936,2.4349,1.69917,0.000957684,0.000957684,0.000957684
80,50.3289,0.72919,1.07372,0.98816,0.44622,0.61556,0.44942,0.22638,1.56755,2.59084,1.61549,0.000962141,0.000962141,0.000962141
